Periodo,Total,Hombres,Mujeres
2021
Enero,6.583943256423,6.83578580835,6.218205541241
Febrero,5.407921623223,5.528700439683,5.23335133488
Marzo,5.084413564755,5.438841182065,4.577464859146
Abril,5.724461714775,5.964528841796,5.380683004499
Mayo,5.287879299169,5.551547765594,4.927819880622
Junio,5.163434249816,5.497790601879,4.691653428554
Julio,5.779219596751,5.319314621134,6.425830574573
Agosto,5.816958984173,5.824331448914,5.806874500252
Septiembre,5.408903676448,5.474256521146,5.31578096978
Octubre,4.987756409426,5.412661786933,4.379072137948
Noviembre,4.661560375249,4.48115861963,4.906391391994
Diciembre,4.469733506459,4.556844622205,4.351212242202
2022
Enero,5.011748311132,5.201296751163,4.740230570577
Febrero,5.124533081565,5.196055222911,5.02658767692
Marzo,3.856856425204,4.047788359907,3.594719026681
Abril,3.882264518479,4.032474493331,3.675630115587
Mayo,4.210649250139,4.263404834498,4.139159621975
Junio,4.26946357202,4.651298456226,3.74345445025
Julio,4.397770450437,4.513248069176,4.236275686631
Agosto,4.474881805717,4.540249266298,4.385431835711
Septiembre,4.069227699194,4.068005935163,4.070853565385
Octubre,4.193608135439,4.040462414399,4.395816607285
Noviembre,3.64463266346,3.680927807665,3.595808269498
Diciembre,3.579189034092,3.98893491129,3.041888268709
2023
Enero,3.746041614893,3.815133414948,3.652979785959
